id,name,latitude,longitude,address,city,state,postcode,country,url,phone,email,location_type,distance
24441052,Zumbro Valley Health Center,44.0308723,-92.4796817,"1112 7th St NW, Rochester, Minnesota, 55901, US",Rochester,Minnesota,55901,US,https://www.zvhc.org/,,,Standard,1.1426311989394078
19560692,Common Ground – Rochester,44.035499,-92.4960696,"1827 Broadway Ave S, Rochester, Minnesota, 56379, US",Rochester,Minnesota,56379,US,http://commongroundmn.org/,,,Standard,1.1518800356059198
19560691,The Salvation Army Good Samaritan Health Clinic,44.0250275,-92.4626939,"120 N Broadway Ave , Rochester, Minnesota, 55906, US",Rochester,Minnesota,55906,US,https://centralusa.salvationarmy.org/northern/GoodSamaritanclinic/,,,Standard,1.6814698695879486
24440068,The Salvation Army - Social Services Center,44.0251097,-92.4619158,"115 1st Ave NE, Rochester, Minnesota, 55906, US",Rochester,Minnesota,55906,US,https://centralusa.salvationarmy.org/northern/rochester/programs-and-services/,,,Standard,1.7202501289796615
27277469,Olmsted Medical Center Southeast Pharmacy,44.012488,-92.460143,"210 Ninth St SE, Rochester, MN, 55904, US",Rochester,MN,55904,US,https://www.olmmed.org/,,,Standard,1.806071322078349
25675033,The Landing MN,44.0184363,-92.4584318,"426 3rd Ave SE, Rochester, MN, 55904, US",Rochester,MN,55904,US,https://www.thelandingmn.org/,,,Standard,1.8375880575392138
19560687,Doc’s Recovery House,43.9959423,-92.4760829,"1821 Restoration Road SW, Rochester, Minnesota, 55902, US",Rochester,Minnesota,55902,US,http://www.docsrecoveryhouse.org/,,,Standard,1.8479276632105075
19560693,Recovery is Happening,44.0392276,-92.4609658,"25 16th Street NE , Rochester, Minnesota, 55906, US",Rochester,Minnesota,55906,US,http://www.recoveryishappening.org/,,,Standard,2.2166182807075945
27277428,Nystrom & Associates (Rochester South),44.0004496,-92.4562183,"401 16th Street SE, Suite 100, Rochester, MN, 55904, US",Rochester,MN,55904,US,https://www.nystromcounseling.com/,,,Standard,2.3233549444637744
19560688,Nystrom & Associates – Rochester South,44.0003872,-92.4561844,"401 16th Street SE Suite #100 , Rochester, Minnesota, 55904, US",Rochester,Minnesota,55904,US,https://www.nystromcounseling.com/our-locations/minnesota/rochester-clinic/,,,Standard,2.3271154009707486
19560690,Damascus Way Re-Entry and Recovery Center,44.0231362,-92.431676,"2118 Campus Drive SE , Rochester, Minnesota, 55904, US",Rochester,Minnesota,55904,US,https://damascusway.com/,,,Standard,3.1789143831037547
27277435,Olmsted Medical Center Northwest Pharmacy,44.0799038,-92.5400927,"5067 55th St. NW, Rochester, MN, 55901, US",Rochester,MN,55901,US,https://www.olmmed.org/,,,Standard,4.761168968662008
27277468,Olmsted Medical Center Pine Island Pharmacy,44.181681,-92.779809,"111 County Road 11, Pine Island, MN, 55963, US",Pine Island,MN,55963,US,https://www.olmmed.org/,,,Standard,18.02242311012021
27277433,Olmsted Medical Center Chatfield Pharmacy,43.8490858,-92.1927313,"237 Main Street N, Chatfield, MN, 55923, US",Chatfield,MN,55923,US,https://www.olmmed.org/,,,Standard,19.06376124319474
19560684,Hiawatha Valley Mental Health Center – Wabasha,44.3795347,-92.0283277,"611 Broadway Ave Suite #100 , Wabasha, Minnesota, 55981, US",Wabasha,Minnesota,55981,US,https://www.hvmhc.org/contact/locations/wabasha-office/,,,Standard,33.96292805
19560679,Sterling Pharmacy – Austin,43.6654375,-92.9902971,"1305 1st Avenue SW, Austin, Minnesota, 55912, US",Austin,Minnesota,55912,US,https://yoursterlingpharmacy.com/pharmacy/austin/,,,Standard,34.654804412069964
19560671,Healthfinders Collaborative – Owatonna,44.0759075,-93.227167,"134 Southview St , Owatonna, Minnesota, 55060, US",Owatonna,Minnesota,55060,US,https://healthfindersmn.org/,,,Standard,36.501864558491675
19560672,Steele County Public Health,44.0910941,-93.2413144,"635 Florence Ave, Owatonna, Minnesota, 55060, US",Owatonna,Minnesota,55060,US,https://www.steelecountymn.gov/public_health/index.php,,,Standard,37.32029433644208
19560685,Common Ground – Red Wing,44.5639958,-92.5420992,"111 Hill Street Suite A , Red Wing, Minnesota, 55066, US",Red Wing,Minnesota,55066,US,http://commongroundmn.org/,,,Standard,37.6882177
